                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.66726,                0.50612,                 1.0632,                0.99178,                0.98881,                0.99344,                0.85248,                0.51429,                0.23944,                  1.065,               0.004555,               0.004555,               0.004555
                     57,                0.66568,                0.50414,                  1.062,                0.99163,                0.98909,                0.99348,                0.85364,                0.51201,                0.23816,                 1.0635,               0.004456,               0.004456,               0.004456
                     58,                0.66325,                0.50052,                  1.062,                 0.9919,                0.98919,                0.99342,                0.85449,                0.50994,                0.23681,                  1.062,               0.004357,               0.004357,               0.004357
                     59,                 0.6611,                0.49666,                 1.0594,                0.99196,                0.98941,                0.99348,                0.85556,                0.50765,                0.23507,                 1.0605,               0.004258,               0.004258,               0.004258
                     60,                0.65703,                0.49385,                 1.0583,                 0.9921,                0.98951,                0.99345,                0.85667,                0.50547,                0.23356,                 1.0593,               0.004159,               0.004159,               0.004159
                     61,                 0.6552,                0.49048,                 1.0587,                0.99226,                0.98932,                0.99349,                0.85769,                 0.5034,                0.23231,                 1.0579,                0.00406,                0.00406,                0.00406
                     62,                0.64853,                0.48397,                 1.0533,                0.99232,                0.98915,                 0.9934,                0.85904,                0.50053,                0.23077,                 1.0562,               0.003961,               0.003961,               0.003961
                     63,                0.64794,                0.48479,                 1.0543,                0.99219,                0.98932,                0.99346,                0.85982,                0.49816,                0.22987,                 1.0548,               0.003862,               0.003862,               0.003862
                     64,                0.64585,                0.48116,                 1.0531,                0.99212,                0.98951,                0.99343,                0.86041,                0.49566,                0.22856,                 1.0534,               0.003763,               0.003763,               0.003763
                     65,                0.64241,                0.47825,                 1.0535,                0.99216,                0.98973,                0.99345,                0.86114,                0.49356,                0.22731,                 1.0521,               0.003664,               0.003664,               0.003664
                     66,                0.63986,                0.47467,                 1.0516,                0.99211,                0.98986,                0.99342,                0.86175,                0.49126,                0.22596,                 1.0509,               0.003565,               0.003565,               0.003565
                     67,                0.63815,                0.47369,                 1.0494,                 0.9921,                0.98993,                0.99339,                0.86275,                0.48898,                 0.2249,                 1.0498,               0.003466,               0.003466,               0.003466
                     68,                 0.6329,                0.46967,                 1.0495,                0.99203,                0.99013,                 0.9934,                0.86368,                0.48639,                0.22366,                 1.0482,               0.003367,               0.003367,               0.003367
                     69,                0.62973,                0.46462,                  1.046,                0.99202,                0.99028,                0.99349,                0.86483,                0.48423,                0.22237,                 1.0471,               0.003268,               0.003268,               0.003268
                     70,                0.62921,                0.46363,                 1.0465,                0.99205,                0.99025,                0.99351,                0.86561,                0.48218,                0.22132,                  1.046,               0.003169,               0.003169,               0.003169
                     71,                0.62382,                0.46159,                 1.0446,                0.99208,                0.99019,                0.99356,                0.86654,                0.48013,                0.22001,                 1.0448,                0.00307,                0.00307,                0.00307
                     72,                0.62117,                 0.4576,                 1.0431,                0.99197,                0.99038,                0.99354,                0.86742,                0.47772,                0.21914,                 1.0435,               0.002971,               0.002971,               0.002971
                     73,                0.61807,                0.45367,                 1.0422,                0.99198,                0.99057,                0.99352,                  0.868,                0.47536,                0.21838,                 1.0424,               0.002872,               0.002872,               0.002872
                     74,                0.61573,                 0.4514,                 1.0408,                0.99189,                 0.9906,                0.99353,                 0.8689,                0.47307,                0.21708,                 1.0412,               0.002773,               0.002773,               0.002773
